Time Stamp,User,Compound,Positive,Neutral,Negative,Tweet,Tweet_Ago
9/24/2018,@Boeing,0.636,0.208,0.792,0,"Congratulations, Leanne! @BoeingDefense CEO Leanne Caret is named one of @FortuneMPW's for the second year running.… https://t.co/glAZHStdFe",134
9/24/2018,@Boeing,0,0,1,0,"We’re the first company to contribute to @NSF INCLUDES at a national level. By investing $1M in this initiative, we… https://t.co/XFk171YdL7",135
9/24/2018,@Boeing,0,0,1,0,"RELEASE: We’re making STEM skills training more accessible to students. Together with @NSF, we’re investing $20 mil… https://t.co/sLogpicBrG",136
9/21/2018,@Boeing,0.3818,0.157,0.843,0,Read more from our shape memory alloys expert in this month’s Innovation Quarterly. https://t.co/Vm0mQt1y0p https://t.co/K7XA2qSLaM,137
9/21/2018,@Boeing,0,0,1,0,"Mighty morphin', shapeshifting metals! With @NASA, we're testing wings that bend in many ways, including on an F/A-… https://t.co/AuW1uD1cqS",138
9/14/2018,@Boeing,-0.2406,0,0.906,0.094,"How will AI address pilot shortages? Could we see an autonomous cargo airplane soon? See what Greg Hyslop, #Boeing… https://t.co/lorD5GNFTf",139
9/14/2018,@Boeing,0.6369,0.181,0.819,0,.@BoeingCEO on the Embraer partnership: “The combination of products and services will be the best on the market an… https://t.co/JycdnGEyzx,140
9/13/2018,@Boeing,0.3612,0.128,0.872,0,"Promoting the health, education &amp; welfare of women globally is the mission of @TheBushCenter. We know that… https://t.co/DuKhiBJyRr",141
9/13/2018,@Boeing,0.34,0.124,0.876,0,The Melinda Gates Foundation found that only 5% of companies’ philanthropic giving went to programs explicitly focu… https://t.co/XUixAkGFGl,142
9/13/2018,@Boeing,0.4215,0.128,0.872,0,A 2017 @McKinsey study found that women are 18% less likely to get promoted into management than men. We’re talking… https://t.co/mnAwz5l8xj,143
9/12/2018,@Boeing,0.8591,0.429,0.571,0,Proud to have been selected as a finalist by @USCCFBiz4Good in the #Citizens2018 Awards. We extend a sincere THANK… https://t.co/tYxV0BOCPR,144
9/11/2018,@Boeing,0,0,1,0,"Today, we stand together in remembrance.",145
9/10/2018,@Boeing,0,0,1,0,RELEASE: Learn more about how we’re advancing satellite communications: https://t.co/rX4kXQVTKD https://t.co/UZojbyd7Qn,146
9/10/2018,@Boeing,0,0,1,0,"As we enable faster, reliable space-based communications, #BoeingHorizonX invests in @BridgeSat_Inc 📡 https://t.co/qgUuaUepMg",147
9/5/2018,@Boeing,0,0,1,0,RT @BoeingDefense: Pegasus certified! #Boeing-#USAF KC-46 tanker receives Supplemental Type Certificate; refueling/mission systems meet FAA…,148
9/4/2018,@Boeing,0.9484,0.601,0.399,0,"Happy to provide a safe home for adorable wildlife, like P-69, @SantaMonicaMtns! Happy #NationalWildlifeDay! See mo… https://t.co/eiD5tOJSsV",149
